127.0.0.1 - - [27/Aug/2019:09:37:28 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:37:28 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:37:28 +0900] "GET /CSSEx/css/usingcss.css HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:37:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:43:34 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:09 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:19 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:20 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:21 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:22 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:22 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:22 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:22 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:22 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:23 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2019:09:44:25 +0900] "GET /CSSEx/01basics/01.usingcss.html HTTP/1.1" 200 405
